time (s),x1 (pixels),y1 (pixels),x2 (pixels),y2 (pixels)
4.46667,760.422,906.773,750.721,883.64
4.5,764.156,904.642,756.173,881.091
4.53333,767.732,902.603,762.14,878.378
4.56667,770.688,901.021,767.319,876.112
4.6,773.667,899.42,773.194,873.256
4.63333,776.854,897.534,778.767,870.301
4.66667,779.59,896.017,783.67,867.991
4.7,782.458,894.458,789.146,865.369
4.73333,785.468,892.779,794.141,862.469
4.76667,787.859,891.466,799.032,859.733
4.8,790.356,890.082,804.39,857.39
4.83333,795.681,887.371,816.534,850.258
4.86667,795.681,887.371,816.534,850.258
4.9,798.37,885.903,821.411,847.739
4.93333,799.982,885.022,827.819,844.513
4.96667,802.342,883.915,833.391,841.109
5,805.295,881.981,838.555,838.244
5.03333,808.14,877.733,844.195,835.154
5.06667,812.443,871.296,849.565,830.896
5.1,817.32,865.225,854.507,826.292
5.13333,821.513,859.571,858.965,822.158
5.16667,825.455,854.892,863.242,817.013
5.2,829.653,850.353,868.582,810.137
5.23333,839.452,837.858,877.598,797.745
5.26667,844.499,831.751,881.94,790.991
5.3,849.811,825.586,886.32,784.343
5.33333,855.916,819.096,890.363,778.03
5.36667,862.322,811.434,893.674,772.802
5.4,867.995,805.772,897.168,767.354
5.43333,873.476,798.809,900.498,762.548
5.46667,878.2,793.113,904.112,757.069
5.5,883.355,786.938,906.681,753.226
5.53333,887.605,781.25,910.058,748.32
5.56667,891.73,775.121,912.944,743.944
5.6,891.73,775.121,912.944,743.944
5.63333,899.387,764.077,918.715,735.467
5.66667,902.131,759.351,921.753,730.727
5.7,905.146,753.831,923.545,724.448
5.73333,907.384,749.738,926.511,716.478
5.76667,910.192,745.459,929.922,709.108
5.8,913.203,741.375,932.883,701.477
5.83333,915.637,737.637,935.693,694.504
5.86667,918.013,733.28,938.498,687.815
5.9,921.257,727.911,941.086,681.521
5.93333,923.584,722.264,943.25,676.393
5.96667,926.744,716.121,945.891,670.319
6,930.157,709.417,948.148,665.206
6.03333,932.82,702.971,950.203,660.483
6.06667,935.724,696.484,952.54,655.448
6.1,938.38,690.552,954.727,650.562
6.13333,940.921,684.768,956.62,646.62
6.16667,943.166,679.716,958.41,642.714
6.2,945.754,674.061,959.847,638.783
6.23333,948.126,669.077,961.19,635.388
6.26667,950.428,664.637,962.022,632.976
6.3,952.919,660.378,962.552,631.166
6.33333,955.221,656.184,963.204,628.884
6.36667,957.505,652.905,964.294,626.654
6.4,959.982,649.532,965.851,625.139
6.43333,962.961,645.728,967.215,624.402
6.46667,965.409,642.059,968.72,623.525
6.5,967.147,639.243,971.059,622.739
6.53333,967,640,972,622
6.56667,970,634,972,613
6.6,970,634,974,616
6.63333,975.086,625.897,971.335,611.172
6.66667,978.021,621.083,971.422,607.931
6.7,979.425,618.271,971.39,605.381
6.73333,981.023,614.835,971.447,602.674
6.76667,982.474,611.822,971.503,600.245
6.8,983.835,608.882,971.622,597.586
6.83333,984.707,607.39,971.718,595.248
6.86667,987.121,602.314,971.928,591.152
6.9,988.587,599.044,972,589.435
6.93333,989.432,597.174,972.372,587.002
6.96667,989.432,597.174,972.372,587.002
7,990.14,595.619,972.499,585.253
7.03333,990.851,592.208,972.619,583.627
7.06667,990.508,587.803,972.87,581.09
7.1,989.731,581.921,973.132,579.125
7.13333,989.278,575.903,973.41,577.094
7.16667,989.014,571.216,973.663,574.552
7.2,988.842,566.734,972.812,569.125
7.23333,988.035,556.899,971.832,554.695
7.26667,987.895,552.684,970.917,548.042
7.3,987.38,548.051,970.678,539.888
7.33333,987.225,544.222,969.869,532.549
7.36667,986.992,540.92,968.888,524.672
7.4,986.634,537.181,968.369,519.049
7.43333,986.468,533.723,967.755,512.03
7.46667,986.214,530.305,966.878,505.679
7.5,985.964,527.747,966.421,500.689
7.53333,985.919,524.859,965.804,495.341
7.56667,985.611,521.83,965.144,489.779
7.6,985.291,518.69,964.559,485.567
7.63333,984.939,516.164,963.97,480.479
7.66667,984.655,512.896,963.496,476.504
7.7,984.491,511.074,962.87,471.707
7.73333,984.196,508.892,962.617,468.117
7.76667,983.87,506.17,961.934,463.744
7.8,983.598,504.209,961.51,459.877
7.83333,983.311,501.444,960.994,455.275
7.86667,983.181,499.353,959.532,448.952
7.9,983.002,493.627,959.049,444.595
7.93333,981.806,488.125,958.511,437.853
7.96667,980.907,482.403,957.72,432.11
8,980.068,477.212,956.805,425.291
8.03333,979.009,471.701,956.319,420.069
8.06667,978.017,467.394,955.731,413.906
8.1,976.759,461.985,955.165,408.937
8.13333,975.879,457.89,954.471,403.443
8.16667,974.991,453.467,954.169,399.102
8.2,973.76,448.916,953.578,394.554
